date,sector,both,temp,change,temp_pct
2013,Financial Services,22792,1646,3.2948107863,7.2218322218
2013,Other Information and Communication,8701,1643,6.5907141982,18.8828870245
2013,Other information technology and computer service activities,9668,1317,21.2288401254,13.6222589988
2013,Other Services,12149,2716,3.6958006145,22.3557494444
2014,Manufacturing & Other Industry,204295,22377,3.0252753459,10.9532783475
2014,Basic and Fabricated Metal Products,11788,892,8.16663608,7.5670173057
2014,Chemicals,25773,3311,1.2333555913,12.8467776355
2014,"Clothing, Footwear and Leather",1470,297,-2.7134348114,20.2040816327
2014,"Computer, Electronic and Optical Equipment",22855,2086,4.9694575851,9.1271056662
2014,"Construction, Energy, Water and Waste *",11224,1125,-0.918079096,10.0231646472
2014,Drink and Tobacco,4539,429,-4.8826487846,9.4514210178
2014,Electrical Equipment,5731,443,0.5438596491,7.7298900715
2014,Food,46366,5783,4.1534694611,12.4725014019
2014,Machinery and Equipment,11714,905,4.6921083207,7.7257981902
2014,Medical and dental instruments and supplies,26784,3418,4.5800632541,12.7613500597
2014,Miscellaneous Manufacturing,5798,687,1.7907303371,11.8489134184
2014,Non-Metallic Minerals,6234,774,1.9460343418,12.4157844081
2014,Paper and Printing,5935,498,0.8839027707,8.3909014322
2014,Rubber and Plastics,7442,730,2.7049406569,9.8091910777
2014,Textiles,1402,261,3.4686346863,18.6162624822
2014,Transport Equipment,4653,452,-3.4847542004,9.7141629057
2014,Wood and Wood Products,4587,286,3.7313432836,6.2350119904
2014,Primary Production,4763,794,4.3830813062,16.6701658619
2014,"Agriculture, Fishing and Forestry",2865,308,1.7400568182,10.7504363002
2014,Mining and Quarrying,1898,486,8.6433886663,25.6059009484
2014,Services,155890,20847,9.3734652354,13.3728911412
2014,Business Services,26313,5792,23.5758230404,22.0119332649
2014,Computer consultancy activities,31253,3631,4.1037940109,11.6180846639
2014,Computer facilities management activities,10848,1086,0.5282179594,10.0110619469
2014,Computer programming activities,29143,2450,7.4792550249,8.4068215352
2014,Financial Services,24578,1818,7.8360828361,7.3968589796
2014,Other Information and Communication,9382,1664,7.8266865877,17.7360903858
2014,Other information technology and computer service activities,10951,1354,13.2705833678,12.3641676559
2014,Other Services,13422,3052,10.4782286608,22.738787066
2015,Manufacturing & Other Industry,213483,22794,4.4974179495,10.6771967791
2015,Basic and Fabricated Metal Products,12349,1017,4.7590770275,8.2354846546
2015,Chemicals,27346,3484,6.103286385,12.7404373583
2015,"Clothing, Footwear and Leather",1492,287,1.4965986395,19.235924933
2015,"Computer, Electronic and Optical Equipment",25141,2368,10.0021877051,9.4188775307
2015,"Construction, Energy, Water and Waste *",11560,600,2.9935851746,5.1903114187
2015,Drink and Tobacco,4395,400,-3.172504957,9.1012514221
2015,Electrical Equipment,5807,426,1.3261210958,7.3359738247
2015,Food,48073,5969,3.6815770176,12.4165331891
2015,Machinery and Equipment,12443,794,6.2233225201,6.381097806
2015,Medical and dental instruments and supplies,27134,3849,1.3067502987,14.1851551559
2015,Miscellaneous Manufacturing,6293,780,8.5374266989,12.3947242968
2015,Non-Metallic Minerals,6785,732,8.8386268848,10.7885040531
2015,Paper and Printing,6016,499,1.3647851727,8.2945478723
2015,Rubber and Plastics,7799,660,4.7970975544,8.4626234133
2015,Textiles,1452,251,3.5663338088,17.2865013774
2015,Transport Equipment,4660,360,0.150440576,7.7253218884
2015,Wood and Wood Products,4738,318,3.291911925,6.7116926973
2015,Primary Production,4809,766,0.9657778711,15.9284674569
2015,"Agriculture, Fishing and Forestry",2876,268,0.3839441536,9.3184979138
2015,Mining and Quarrying,1933,498,1.8440463646,25.763062597
2015,Services,169151,22805,8.5066392969,13.4820367601
2015,Business Services,29308,6851,11.3822065139,23.3758700696
2015,Computer consultancy activities,32496,3642,3.9772181871,11.2075332349
2015,Computer facilities management activities,11747,834,8.2872418879,7.099685026
2015,Computer programming activities,31529,2773,8.1872147686,8.7950775477
2015,Financial Services,26900,2163,9.4474733502,8.0408921933
2015,Other Information and Communication,10555,1872,12.502664677,17.7356702984
2015,Other information technology and computer service activities,12409,1518,13.3138526162,12.2330566524
2015,Other Services,14207,3152,5.848606765,22.1862462167
